0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,0.75,0.75,,,,,,,,,,,,,,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,,,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,4.0,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,4.0,4.0,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,12.5,12.5,,,,,,,,,,,,,,,,,,,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,4.0,,,,,,,,,,,,,,,,,,,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,12.5,12.5,12.5,12.5,,,,,,,,,
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,13.75,14.583333333333334,,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,,,,,,,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,12.5,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,15.0,15.0,13.75,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,7.5,,12.5,12.5,12.5,,,,,,,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,,,,16.25,16.458333333333336,17.15277777777778,17.38425925925926,17.471064814814817,17.492766203703702,17.498191550925924,17.49954788773148,17.49988697193287,17.499971742983217,17.499992935745805,17.499998233936452,17.499999558484113,17.499999852828036,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,13.75,13.75,13.333333333333334,12.916666666666668,12.708333333333334,12.604166666666668,12.534722222222223,12.511574074074074,12.50385802469136,12.50096450617284,12.50024112654321,12.500060281635802,12.500015070408951,12.500003767602237,12.50000094190056,12.50000023547514,12.500000078491714,12.500000026163905,12.5
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,0.75,0.75,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,12.5,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,7.5,7.5,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,,17.5,17.1875,17.161458333333336,17.32855902777778,17.42820457175926,17.47481734664352,17.491895887586807,17.497521859628183,17.499267436839915,17.499788602193195,17.499940086294103,17.499983255509978,17.499995372361607,17.49999873271143,17.499999646384868,17.499999823192432,,12.5,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,,,,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,12.500482253086421,12.50024112654321,12.500100469393004,12.500038513267318,12.500014093623186,12.500005011841248,12.500001749105463,12.500000609199057,12.50000015884074,12.5
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,12.5,,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,7.5,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,,17.5,17.421875,17.395833333333336,17.43109809027778,17.46482566550926,17.484910753038193,17.49420166015625,17.497930879946107,17.499299579196506,17.499772045347424,17.49990404388051,17.49996243313016,17.499985935163924,17.499994889291784,17.499998178558883,17.499999000875658,,12.5,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,4.0,4.0,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,14.166666666666666,,,17.5,17.5,17.5,17.5,17.5,,,,12.5,12.5,,,,,,,,17.5,17.5,,,,,,,,,,12.50000007942037,12.5
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,7.5,7.5,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,,17.5,17.473958333333332,17.456597222222225,17.471923828125,17.484187373408567,17.49227453161169,17.496619047941984,17.498637481972025,17.499484265292132,17.49975210354652,,,,,,,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,16.38888888888889,17.12962962962963,17.376543209876544,17.469135802469136,17.492283950617285,17.498070987654323,17.499517746913583,17.499839248971195,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,
,,,,,,,,,,,,,,,,2.25,2.25,2.25,2.25,,,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,1.5,,,,,,,,,7.5,7.5,7.5,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,12.5,12.5,12.5,12.5,,,,,7.5,7.5,,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,0.75,0.75,,,,,,,,,,,,,4.0,4.0,,,,,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,,,,,17.490641276041668,17.493707162362558,17.496495423493563,17.498278617858887,17.499229024957728,17.499678322562467,17.499810142036328,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,17.12962962962963,17.314814814814817,17.422839506172842,17.472993827160494,17.491319444444443,17.496463477366255,17.49866040809328,17.499249828532236,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
,,,,,,,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,2.25,2.25,2.25,2.25,,,,,,,1.125,0.9375,0.9375,,,,,,,7.5,7.5,7.5,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,7.5,7.5,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,7.5,7.5,,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,0.75,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,17.496880425347225,17.497646896927446,17.49853558010525,17.499203549491035,17.499608143612193,17.499821616543663,17.499877252859996,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,17.376543209876544,17.422839506172842,17.46141975308642,17.483603395061728,17.491640946502056,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,17.5,17.5,17.5,17.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,7.5,7.5,,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,17.49896014178241,17.499151759677464,17.49942183494568,17.499656346109177,17.499816122430342,17.4999094347435,17.499928895867832,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,12.5,12.5,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,15.833333333333334,,12.5,12.5,,,,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,17.5,17.5,17.469135802469136,17.472993827160494,17.483603395061728,17.491801697530864,17.494480881344305,,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,,,,17.5
